Horizon started successfully.
Horizon started successfully.
[2022-01-26 15:57:36][64739bd1-eefe-4e10-998e-27673e422660] Processing: App\Mail\Admin\OrderCancel
[2022-01-26 15:57:36][64739bd1-eefe-4e10-998e-27673e422660] Failed:     App\Mail\Admin\OrderCancel
[2022-01-26 15:58:18][57979118-ac44-4a56-9872-b729be8b4473] Processing: App\Mail\Admin\OrderCancel
[2022-01-26 15:58:20][57979118-ac44-4a56-9872-b729be8b4473] Processed:  App\Mail\Admin\OrderCancel
[2022-01-26 16:20:12][2f9b8b40-b1f3-474e-a60e-c0249fa55800] Processing: App\Mail\Admin\OrderCancel
[2022-01-26 16:20:14][2f9b8b40-b1f3-474e-a60e-c0249fa55800] Processed:  App\Mail\Admin\OrderCancel
[2022-01-26 16:21:53][62fcc316-6b4e-4db5-9abc-da20683f71d0] Processing: App\Mail\Admin\OrderCancel
[2022-01-26 16:21:56][62fcc316-6b4e-4db5-9abc-da20683f71d0] Processed:  App\Mail\Admin\OrderCancel
[2022-01-26 16:24:16][58dc23cd-fddd-4cc4-8e8e-ac9cdbe7318e] Processing: App\Mail\Admin\OrderCancel
[2022-01-26 16:24:19][58dc23cd-fddd-4cc4-8e8e-ac9cdbe7318e] Processed:  App\Mail\Admin\OrderCancel
[2022-01-26 16:26:10][a4c72baf-2809-41f9-b94e-40e139e3456a] Processing: App\Mail\Admin\OrderCancel
[2022-01-26 16:26:12][a4c72baf-2809-41f9-b94e-40e139e3456a] Processed:  App\Mail\Admin\OrderCancel
[2022-01-26 16:27:15][9205d9cc-bd39-4414-bcb6-195cc0b03065] Processing: App\Mail\Admin\OrderCancel
[2022-01-26 16:27:17][9205d9cc-bd39-4414-bcb6-195cc0b03065] Processed:  App\Mail\Admin\OrderCancel
[2022-01-26 16:29:49][a7c29849-d8f4-42bb-9215-af23fb3bf91b] Processing: App\Mail\Admin\OrderCancel
[2022-01-26 16:29:52][a7c29849-d8f4-42bb-9215-af23fb3bf91b] Processed:  App\Mail\Admin\OrderCancel
[2022-01-26 16:29:55][3c5cb943-5a4d-4e23-a70f-bf4e1abac1c8] Processing: App\Mail\Admin\OrderCancel
[2022-01-26 16:29:57][3c5cb943-5a4d-4e23-a70f-bf4e1abac1c8] Processed:  App\Mail\Admin\OrderCancel
[2022-01-26 16:32:24][633bcdfa-a2fd-459e-8eb3-e5bf61837101] Processing: App\Mail\Admin\OrderCancel
[2022-01-26 16:32:25][56c3b7f4-b4cb-4d4e-9f36-0c7ae03041a0] Processing: App\Mail\Admin\OrderCancelStore
[2022-01-26 16:32:25][56c3b7f4-b4cb-4d4e-9f36-0c7ae03041a0] Failed:     App\Mail\Admin\OrderCancelStore
[2022-01-26 16:32:27][633bcdfa-a2fd-459e-8eb3-e5bf61837101] Processed:  App\Mail\Admin\OrderCancel
[2022-01-26 16:32:49][26addeba-ebcf-4242-b0d7-929bccb01c79] Processing: App\Mail\Admin\OrderCancelStore
[2022-01-26 16:32:49][26addeba-ebcf-4242-b0d7-929bccb01c79] Failed:     App\Mail\Admin\OrderCancelStore
[2022-01-26 16:34:31][69057c5e-1668-4a58-bfdf-aa7e0e3bd20c] Processing: App\Mail\Admin\OrderCancelStore
[2022-01-26 16:34:31][69057c5e-1668-4a58-bfdf-aa7e0e3bd20c] Failed:     App\Mail\Admin\OrderCancelStore
[2022-01-26 16:35:01][491db4fb-cf37-4e1d-8753-dfe01556fda3] Processing: App\Mail\Admin\OrderCancelStore
[2022-01-26 16:35:04][491db4fb-cf37-4e1d-8753-dfe01556fda3] Processed:  App\Mail\Admin\OrderCancelStore
[2022-01-26 16:36:40][b35a2615-be37-4eee-bc18-8e02e78b6b55] Processing: App\Mail\Admin\OrderCancel
[2022-01-26 16:36:40][c2a6b448-149c-487f-bea2-b57db98f8b22] Processing: App\Mail\Admin\OrderCancelStore
[2022-01-26 16:36:43][b35a2615-be37-4eee-bc18-8e02e78b6b55] Processed:  App\Mail\Admin\OrderCancel
[2022-01-26 16:36:43][c2a6b448-149c-487f-bea2-b57db98f8b22] Processed:  App\Mail\Admin\OrderCancelStore
[2022-02-01 16:28:55][2a1b7331-1d17-4f16-a0d8-d7f5047a03f4] Processing: App\Mail\Admin\ProductConfirm
[2022-02-01 16:29:13][2a1b7331-1d17-4f16-a0d8-d7f5047a03f4] Failed:     App\Mail\Admin\ProductConfirm
[2022-02-01 16:31:04][75d07a80-ccb0-4dd7-be8b-2db150adced2] Processing: App\Mail\Admin\ProductConfirm
[2022-02-01 16:31:04][75d07a80-ccb0-4dd7-be8b-2db150adced2] Failed:     App\Mail\Admin\ProductConfirm
[2022-02-01 16:32:44][705348f5-0027-4f84-9c5c-df8ba46c7cac] Processing: App\Mail\Admin\ProductConfirm
[2022-02-01 16:32:48][705348f5-0027-4f84-9c5c-df8ba46c7cac] Processed:  App\Mail\Admin\ProductConfirm
[2022-02-01 16:41:50][18ce6a1a-c4f0-4c59-a22a-7e55dde3f822] Processing: App\Mail\Admin\ProductConfirm
[2022-02-01 16:41:53][18ce6a1a-c4f0-4c59-a22a-7e55dde3f822] Processed:  App\Mail\Admin\ProductConfirm
[2022-02-01 16:42:44][592fbc14-2508-4f65-92b1-53825493ab5b] Processing: App\Mail\Admin\ProductConfirm
[2022-02-01 16:42:46][592fbc14-2508-4f65-92b1-53825493ab5b] Processed:  App\Mail\Admin\ProductConfirm
[2022-02-01 16:43:26][a42a9ad5-490e-4d47-8409-4b7d948cdf1f] Processing: App\Mail\Admin\ProductConfirm
[2022-02-01 16:43:28][a42a9ad5-490e-4d47-8409-4b7d948cdf1f] Processed:  App\Mail\Admin\ProductConfirm
[2022-02-01 16:44:07][31947885-9175-4e0e-af60-89b50c7919a4] Processing: App\Mail\Admin\ProductConfirm
[2022-02-01 16:44:10][31947885-9175-4e0e-af60-89b50c7919a4] Processed:  App\Mail\Admin\ProductConfirm
Horizon started successfully.
[2022-02-02 16:27:14][f362e31e-1f2c-436d-99ae-8d09ed43f75b] Processing: App\Mail\Store\ProductConfirm
[2022-02-02 16:27:18][f362e31e-1f2c-436d-99ae-8d09ed43f75b] Processed:  App\Mail\Store\ProductConfirm
[2022-02-02 16:55:39][dd9bb934-3a2b-44d1-ab51-d65a5063495b] Processing: App\Mail\Store\ProductConfirm
[2022-02-02 16:55:44][dd9bb934-3a2b-44d1-ab51-d65a5063495b] Processed:  App\Mail\Store\ProductConfirm
[2022-02-02 16:57:05][b15bb7b1-d14f-4505-af69-aa0c9f1b17a8] Processing: App\Mail\Store\ProductConfirm
[2022-02-02 16:57:07][b15bb7b1-d14f-4505-af69-aa0c9f1b17a8] Processed:  App\Mail\Store\ProductConfirm
[2022-02-02 16:58:34][255f48e7-499d-4b50-9cb3-daaf82af21b4] Processing: App\Mail\Store\ProductConfirm
[2022-02-02 16:58:37][255f48e7-499d-4b50-9cb3-daaf82af21b4] Processed:  App\Mail\Store\ProductConfirm
[2022-02-02 17:03:52][eead350b-6792-477d-8a30-8b820f3eab73] Processing: App\Mail\Admin\ProductConfirm
[2022-02-02 17:03:55][eead350b-6792-477d-8a30-8b820f3eab73] Processed:  App\Mail\Admin\ProductConfirm
[2022-02-07 15:34:54][3ca48480-32ef-4e30-8a2c-c7271203591e] Processing: App\Mail\Store\ProductConfirm
[2022-02-07 15:34:59][3ca48480-32ef-4e30-8a2c-c7271203591e] Processed:  App\Mail\Store\ProductConfirm
[2022-02-07 15:42:47][e0328054-4e87-4048-ac1c-fffdac4a75ae] Processing: App\Mail\Store\ProductConfirm
[2022-02-07 15:42:50][e0328054-4e87-4048-ac1c-fffdac4a75ae] Processed:  App\Mail\Store\ProductConfirm
Horizon started successfully.
Horizon started successfully.
[2022-02-12 12:02:01][4e73c618-1bff-476d-b98d-774576fbfb46] Processing: App\Mail\Admin\StoreCreate
[2022-02-12 12:02:07][4e73c618-1bff-476d-b98d-774576fbfb46] Failed:     App\Mail\Admin\StoreCreate
[2022-02-12 12:03:11][afead15a-591c-4f9b-a469-9273d116428e] Processing: App\Mail\Admin\StoreCreate
[2022-02-12 12:03:11][afead15a-591c-4f9b-a469-9273d116428e] Failed:     App\Mail\Admin\StoreCreate
[2022-02-12 12:03:59][d2555081-8404-45bc-940d-6c3c5f80dbb2] Processing: App\Mail\Admin\StoreCreate
[2022-02-12 12:04:02][d2555081-8404-45bc-940d-6c3c5f80dbb2] Processed:  App\Mail\Admin\StoreCreate
[2022-02-12 12:10:50][90db176b-202c-4ae5-87c8-f30b857e289f] Processing: App\Mail\Store\ProductConfirm
[2022-02-12 12:10:53][90db176b-202c-4ae5-87c8-f30b857e289f] Processed:  App\Mail\Store\ProductConfirm
[2022-02-12 12:47:53][e10008d3-4b0f-4e7c-8a83-35146bf4ca99] Processing: App\Mail\Store\ProductConfirmToAdmin
[2022-02-12 12:47:56][e10008d3-4b0f-4e7c-8a83-35146bf4ca99] Processed:  App\Mail\Store\ProductConfirmToAdmin
[2022-02-12 13:02:02][8589eade-6a94-4265-8a94-6fc1f246afc5] Processing: App\Mail\Store\ProductToAdmin
